model,task,method,budget,seed,run_id,em,f1,rougeL,n,peak_vram_gb,train_time_min,trainable_ratio,meta_file
gemma,squad_v2,dora,512,43,gemma_squad_v2_dora_b512_s43,0.48,0.5751468253968255,,200,19.64687728881836,11.21437208255132,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b512_s43_meta.json
gemma,squad_v2,ia3,128,42,gemma_squad_v2_ia3_b128_s42,0.48,0.5467539682539683,,200,12.114957809448242,1.2074403285980224,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b128_s42_meta.json
gemma,squad_v2,ia3,128,43,gemma_squad_v2_ia3_b128_s43,0.485,0.5517539682539683,,200,12.114957809448242,1.206330450375875,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b128_s43_meta.json
gemma,squad_v2,ia3,2048,42,gemma_squad_v2_ia3_b2048_s42,0.465,0.5238968253968254,,200,12.114957809448242,18.20212306578954,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b2048_s42_meta.json
gemma,squad_v2,ia3,2048,43,gemma_squad_v2_ia3_b2048_s43,0.46,0.5255634920634921,,200,12.114957809448242,18.178229967753094,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b2048_s43_meta.json
gemma,squad_v2,ia3,512,42,gemma_squad_v2_ia3_b512_s42,0.485,0.548420634920635,,200,12.114957809448242,4.598754417896271,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b512_s42_meta.json
gemma,squad_v2,ia3,512,43,gemma_squad_v2_ia3_b512_s43,0.485,0.548420634920635,,200,12.114957809448242,4.597335728009542,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_ia3_b512_s43_meta.json
gemma,squad_v2,lora,128,42,gemma_squad_v2_lora_b128_s42,0.19,0.4311758591986083,,200,13.14830493927002,1.534845801194509,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b128_s42_meta.json
gemma,squad_v2,lora,128,43,gemma_squad_v2_lora_b128_s43,0.255,0.4746706349206353,,200,13.14537525177002,1.5291072885195414,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b128_s43_meta.json
gemma,squad_v2,lora,2048,42,gemma_squad_v2_lora_b2048_s42,0.435,0.5252458673221059,,200,13.14537525177002,23.506461763381957,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_lora_b2048_s42_meta.json
